Feature_1,Feature_2,Mean_Interaction,SD_Interaction,Interaction_Rank
Current_BMI,Risk_Score,0.007255268404268161,0.005858631656824479,347
Zarda_Betel_Leaf,Walk_Regularly,0.0072336230094743785,0.00585276671605023,348
Diabetic_Year,Water_Consumption,0.007201140530083407,0.006409628414420804,349
Pain_killer,Treatment_Score,0.007165073460742644,0.007834040671383132,350
Gender,Weight,0.007094011666063382,0.004027269901545384,351
Urination_Properly,Risk_Score,0.0069896684124975935,0.011019905160201408,352
Height,Urination_Properly,0.00693543750821674,0.006486395946644215,353
Weight,Sleep,0.006914908362264797,0.01112747575526184,354
Job,Age,0.0068947131834000116,0.004962205478357209,355
Take_Insulin,Zarda_Betel_Leaf,0.006863264877912022,0.005538459883861912,356
Diabetic_Year,Urination_Properly,0.006809580979235269,0.005083745287124032,357
Family_Background_of_Diabetes,Walk_Regularly,0.0068009663282218745,0.0026272545236326376,358
Gender,Risk_Score,0.006798042189029606,0.006004950213023867,359
Take_Insulin,Smoke,0.006782429406139485,0.007768543231528364,360
Family_Background_of_Diabetes,Current_BMI,0.006739697814968382,0.005083260102292686,361
Smoke,Age_Diabetes,0.00673668088749803,0.006686185074426067,362
Urination_Properly,Urinary_Infection,0.006686923204947942,0.01038526272992966,363
Gender,Family_Background_of_Diabetes,0.00663964272945423,0.006951865839402471,364
Follow_suggested_Diet,Age_Diabetes,0.006579219193000922,0.006857357592573005,365
Diabetic_Year,Follow_suggested_Diet,0.006548723677006973,0.009971432312017702,366
Average_Age,Smoke,0.006460881645487039,0.0076465135156811885,367
BMI,Smoke,0.006453221797800472,0.0050112540024328765,368
Family_Background_of_Diabetes,Risk_Score,0.006451950045928344,0.00783428735207074,369
BMI,Water_Consumption,0.00640758657055612,0.007418505329994433,370
Average_Weight,Hypertension,0.006301560553030494,0.004421256967901225,371
Follow_suggested_Diet,Weight_Diff,0.006249956142663946,0.0057820448114751415,372
Smoke,Calorie_Intake,0.00620735294668769,0.005748328119815426,373
Follow_suggested_Diet,BMI_Diabetes,0.006153389050469791,0.005293958011930073,374
Diabetic_Year,Hypertension,0.006146427617647767,0.004626184276368021,375
Take_Insulin,Water_Consumption,0.006091559331311893,0.008264825095394777,376
Gender,Diabetic_Year,0.005991144686964849,0.003364696831479253,377
Pain_killer,Risk_Score,0.005966410828201198,0.005420281031003124,378
Follow_suggested_Diet,Current_BMI,0.005953287719007604,0.005224300962285059,379
Water_Consumption,Lifestyle_Score,0.005902404957687136,0.0062783008895806606,380
Follow_suggested_Diet,Pain_killer,0.0057581786088096755,0.006593262100433255,381
Age,Urination_Properly,0.005754356469825003,0.006925772075457544,382
Job,Zarda_Betel_Leaf,0.005681253890631838,0.006639150039495037,383
BMI,Follow_suggested_Diet,0.005660731772040335,0.004300510322662892,384
Heart_Disease,Current_BMI,0.005643180136218598,0.004674168145447956,385
Family_Background_of_Diabetes,Pain_killer,0.005615354573295412,0.005667699064062945,386
Hypertension,Treatment_Score,0.005476081885253517,0.006817710825832646,387
Smoke,BMI_Diabetes,0.005374504268691143,0.00804502947156705,388
Weight,Zarda_Betel_Leaf,0.00534689857826039,0.004038852380477561,389
Average_Age,Urination_Properly,0.0053018588912468285,0.00396602299178981,390
Smoke,BMI_per_Year,0.005277900469696908,0.0030479555423128524,391
Take_Insulin,Hypertension,0.005273494461341926,0.005128801997079535,392
